word,category,description
flat,QUALITIES,quality - having a smooth level surface
free,QUALITIES,quality - not under control of another
frequent,QUALITIES,quality - occurring often
full,QUALITIES,quality - containing as much as possible
general,QUALITIES,quality - affecting most cases
good,QUALITIES,quality - of high quality
great,QUALITIES,quality - of an extent or intensity above average
grey,QUALITIES,quality - a color between black and white
hanging,QUALITIES,quality - suspended from above
happy,QUALITIES,quality - feeling or showing pleasure
hard,QUALITIES,quality - firm and solid
healthy,QUALITIES,quality - in good condition
high,QUALITIES,quality - extending far upward
hollow,QUALITIES,quality - having a gap inside
important,QUALITIES,quality - of great significance
kind,QUALITIES,quality - having a friendly nature
like,QUALITIES,quality - similar to
living,QUALITIES,quality - alive
long,QUALITIES,quality - measuring great distance
male,QUALITIES,quality - relating to men
married,QUALITIES,quality - joined in marriage
material,QUALITIES,quality - relating to physical matter
medical,QUALITIES,quality - relating to the science of medicine
military,QUALITIES,quality - relating to armed forces
natural,QUALITIES,quality - existing in nature
necessary,QUALITIES,quality - required to be done
new,QUALITIES,quality - not existing before
normal,QUALITIES,quality - conforming to a standard
open,QUALITIES,quality - not closed
parallel,QUALITIES,quality - having the same distance throughout
past,QUALITIES,quality - no longer existing
physical,QUALITIES,quality - relating to the body
political,QUALITIES,quality - relating to government
poor,QUALITIES,quality - lacking money
possible,QUALITIES,quality - able to be done
present,QUALITIES,quality - occurring now
private,QUALITIES,quality - belonging to a specific person
probable,QUALITIES,quality - likely to happen
quick,QUALITIES,quality - moving fast
quiet,QUALITIES,quality - making little noise
ready,QUALITIES,quality - fully prepared
red,QUALITIES,quality - the color of blood
regular,QUALITIES,quality - according to a pattern
responsible,QUALITIES,quality - accountable
right,QUALITIES,quality - correct
round,QUALITIES,quality - shaped like a circle
same,QUALITIES,quality - identical
second,QUALITIES,quality - coming after the first
separate,QUALITIES,quality - not joined
serious,QUALITIES,quality - important, not playful
sharp,QUALITIES,quality - having a fine edge
smooth,QUALITIES,quality - having an even surface
sticky,QUALITIES,quality - adhering to surfaces
stiff,QUALITIES,quality - not bending easily
straight,QUALITIES,quality - not curved
strong,QUALITIES,quality - having great power
sudden,QUALITIES,quality - happening quickly
sweet,QUALITIES,quality - having a pleasant taste
tall,QUALITIES,quality - measuring much distance upward
thick,QUALITIES,quality - measuring much distance from one side to the other
tight,QUALITIES,quality - fixed firmly in place
tired,QUALITIES,quality - in need of sleep
true,QUALITIES,quality - in accordance with fact
violent,QUALITIES,quality - having great force
waiting,QUALITIES,quality - staying until expected
warm,QUALITIES,quality - having moderate heat
wet,QUALITIES,quality - covered with water
wide,QUALITIES,quality - measuring much distance from side to side
wise,QUALITIES,quality - having experience and good judgment
yellow,QUALITIES,quality - the color of lemons
young,QUALITIES,quality - having lived for a short time

awake,QUALITIES_OPP,quality - not sleeping
bad,QUALITIES_OPP,quality - not good
bent,QUALITIES_OPP,quality - curved out of shape
bitter,QUALITIES_OPP,quality - unpleasant taste
blue,QUALITIES_OPP,quality - the color of the sky
certain,QUALITIES_OPP,quality - sure
cold,QUALITIES_OPP,quality - having low temperature
complete,QUALITIES_OPP,quality - having all parts
cruel,QUALITIES_OPP,quality - causing pain
dark,QUALITIES_OPP,quality - not bright
dead,QUALITIES_OPP,quality - no longer living
dear,QUALITIES_OPP,quality - loved
delicate,QUALITIES_OPP,quality - easily broken
different,QUALITIES_OPP,quality - not the same
dirty,QUALITIES_OPP,quality - covered with dirt
dry,QUALITIES_OPP,quality - without moisture
false,QUALITIES_OPP,quality - not true
feeble,QUALITIES_OPP,quality - weak
female,QUALITIES_OPP,quality - relating to women
foolish,QUALITIES_OPP,quality - lacking good sense
future,QUALITIES_OPP,quality - not yet here
green,QUALITIES_OPP,quality - the color of grass
ill,QUALITIES_OPP,quality - not healthy
last,QUALITIES_OPP,quality - coming after all others
late,QUALITIES_OPP,quality - not early
left,QUALITIES_OPP,quality - on the west side
loose,QUALITIES_OPP,quality - not tight
loud,QUALITIES_OPP,quality - producing much sound
low,QUALITIES_OPP,quality - not high
mixed,QUALITIES_OPP,quality - combined
narrow,QUALITIES_OPP,quality - not wide
old,QUALITIES_OPP,quality - having lived for many years
opposite,QUALITIES_OPP,quality - directly facing
public,QUALITIES_OPP,quality - not private
rough,QUALITIES_OPP,quality - not smooth
sad,QUALITIES_OPP,quality - unhappy
safe,QUALITIES_OPP,quality - protected from harm
secret,QUALITIES_OPP,quality - not known to others
short,QUALITIES_OPP,quality - not long
shut,QUALITIES_OPP,quality - closed
simple,QUALITIES_OPP,quality - easy to understand
slow,QUALITIES_OPP,quality - not fast
small,QUALITIES_OPP,quality - not large
soft,QUALITIES_OPP,quality - easy to shape
solid,QUALITIES_OPP,quality - firm and stable
special,QUALITIES_OPP,quality - not general
strange,QUALITIES_OPP,quality - unusual
thin,QUALITIES_OPP,quality - not thick
white,QUALITIES_OPP,quality - the color of snow
wrong,QUALITIES_OPP,quality - not correct
